Journal_ID,Date,Account,Debit,Credit,Description
17,2025-01-18,Equipment,17968,0,Journal entry 17 debit
17,2025-01-18,Accounts Payable,0,17968,Journal entry 17 credit
18,2025-01-19,Equipment,48196,0,Journal entry 18 debit
18,2025-01-19,Revenue,0,48196,Journal entry 18 credit
19,2025-01-20,Accounts Receivable,43245,0,Journal entry 19 debit
19,2025-01-20,Capital,0,43245,Journal entry 19 credit
20,2025-01-21,Office Supplies,19813,0,Journal entry 20 debit
20,2025-01-21,Accumulated Depreciation,0,19813,Journal entry 20 credit
21,2025-01-22,Salaries Expense,30119,0,Journal entry 21 debit
21,2025-01-22,Accounts Payable,0,30119,Journal entry 21 credit
22,2025-01-23,Accounts Receivable,45549,0,Journal entry 22 debit
22,2025-01-23,Cash,0,45549,Journal entry 22 credit
23,2025-01-24,Equipment,3592,0,Journal entry 23 debit
23,2025-01-24,Cash,0,3592,Journal entry 23 credit
24,2025-01-25,Prepaid Expenses,42894,0,Journal entry 24 debit
24,2025-01-25,Capital,0,42894,Journal entry 24 credit
25,2025-01-26,Accounts Receivable,17515,0,Journal entry 25 debit
25,2025-01-26,Accounts Payable,0,17515,Journal entry 25 credit
26,2025-01-27,Office Supplies,32047,0,Journal entry 26 debit
26,2025-01-27,Accounts Payable,0,32047,Journal entry 26 credit
27,2025-01-28,Salaries Expense,27985,0,Journal entry 27 debit
27,2025-01-28,Accounts Payable,0,27985,Journal entry 27 credit
28,2025-01-29,Salaries Expense,49146,0,Journal entry 28 debit
28,2025-01-29,Unearned Revenue,0,49146,Journal entry 28 credit
29,2025-01-30,Inventory,6383,0,Journal entry 29 debit
29,2025-01-30,Capital,0,6383,Journal entry 29 credit
30,2025-01-31,Accounts Receivable,19147,0,Journal entry 30 debit
30,2025-01-31,Unearned Revenue,0,19147,Journal entry 30 credit
31,2025-02-01,Inventory,43032,0,Journal entry 31 debit
31,2025-02-01,Accounts Payable,0,43032,Journal entry 31 credit
32,2025-02-02,Office Supplies,3922,0,Journal entry 32 debit
32,2025-02-02,Unearned Revenue,0,3922,Journal entry 32 credit
33,2025-02-03,Equipment,10861,0,Journal entry 33 debit
33,2025-02-03,Unearned Revenue,0,10861,Journal entry 33 credit
34,2025-02-04,Accounts Receivable,13075,0,Journal entry 34 debit
34,2025-02-04,Cash,0,13075,Journal entry 34 credit
35,2025-02-05,Inventory,36360,0,Journal entry 35 debit
35,2025-02-05,Capital,0,36360,Journal entry 35 credit
36,2025-02-06,Office Supplies,5495,0,Journal entry 36 debit
36,2025-02-06,Capital,0,5495,Journal entry 36 credit
37,2025-02-07,Rent Expense,27456,0,Journal entry 37 debit
37,2025-02-07,Accounts Payable,0,27456,Journal entry 37 credit
38,2025-02-08,Rent Expense,32714,0,Journal entry 38 debit
38,2025-02-08,Unearned Revenue,0,32714,Journal entry 38 credit
39,2025-02-09,Prepaid Expenses,14131,0,Journal entry 39 debit
39,2025-02-09,Revenue,0,14131,Journal entry 39 credit
40,2025-02-10,Cash,19322,0,Journal entry 40 debit
40,2025-02-10,Accounts Payable,0,19322,Journal entry 40 credit
41,2025-02-11,Equipment,16060,0,Journal entry 41 debit
41,2025-02-11,Unearned Revenue,0,16060,Journal entry 41 credit
42,2025-02-12,Office Supplies,14898,0,Journal entry 42 debit
42,2025-02-12,Accounts Payable,0,14898,Journal entry 42 credit
43,2025-02-13,Equipment,8363,0,Journal entry 43 debit
43,2025-02-13,Accounts Payable,0,8363,Journal entry 43 credit
44,2025-02-14,Rent Expense,27383,0,Journal entry 44 debit
44,2025-02-14,Capital,0,27383,Journal entry 44 credit
45,2025-02-15,Cash,13441,0,Journal entry 45 debit
45,2025-02-15,Capital,0,13441,Journal entry 45 credit
46,2025-02-16,Office Supplies,19769,0,Journal entry 46 debit
46,2025-02-16,Accounts Payable,0,19769,Journal entry 46 credit
47,2025-02-17,Office Supplies,40430,0,Journal entry 47 debit
47,2025-02-17,Revenue,0,40430,Journal entry 47 credit
48,2025-02-18,Salaries Expense,24404,0,Journal entry 48 debit
48,2025-02-18,Cash,0,24404,Journal entry 48 credit
49,2025-02-19,Prepaid Expenses,24311,0,Journal entry 49 debit
49,2025-02-19,Cash,0,24311,Journal entry 49 credit
50,2025-02-20,Accounts Receivable,32428,0,Journal entry 50 debit
50,2025-02-20,Accumulated Depreciation,0,32428,Journal entry 50 credit
51,2025-02-21,Salaries Expense,10299,0,Journal entry 51 debit
51,2025-02-21,Cash,0,10299,Journal entry 51 credit
52,2025-02-22,Prepaid Expenses,40332,0,Journal entry 52 debit
52,2025-02-22,Cash,0,40332,Journal entry 52 credit
53,2025-02-23,Prepaid Expenses,7417,0,Journal entry 53 debit
53,2025-02-23,Unearned Revenue,0,7417,Journal entry 53 credit
54,2025-02-24,Office Supplies,11368,0,Journal entry 54 debit
54,2025-02-24,Unearned Revenue,0,11368,Journal entry 54 credit
55,2025-02-25,Prepaid Expenses,15821,0,Journal entry 55 debit
55,2025-02-25,Capital,0,15821,Journal entry 55 credit
56,2025-02-26,Inventory,5740,0,Journal entry 56 debit
56,2025-02-26,Unearned Revenue,0,5740,Journal entry 56 credit
57,2025-02-27,Cash,31229,0,Journal entry 57 debit
57,2025-02-27,Revenue,0,31229,Journal entry 57 credit
58,2025-02-28,Prepaid Expenses,19519,0,Journal entry 58 debit
58,2025-02-28,Unearned Revenue,0,19519,Journal entry 58 credit
59,2025-03-01,Accounts Receivable,26792,0,Journal entry 59 debit
59,2025-03-01,Accumulated Depreciation,0,26792,Journal entry 59 credit
60,2025-03-02,Salaries Expense,1450,0,Journal entry 60 debit
60,2025-03-02,Cash,0,1450,Journal entry 60 credit
61,2025-03-03,Accounts Receivable,42464,0,Journal entry 61 debit
61,2025-03-03,Accumulated Depreciation,0,42464,Journal entry 61 credit
62,2025-03-04,Equipment,25011,0,Journal entry 62 debit
62,2025-03-04,Accumulated Depreciation,0,25011,Journal entry 62 credit
63,2025-03-05,Cash,48116,0,Journal entry 63 debit
63,2025-03-05,Accounts Payable,0,48116,Journal entry 63 credit
64,2025-03-06,Office Supplies,45367,0,Journal entry 64 debit
64,2025-03-06,Accounts Payable,0,45367,Journal entry 64 credit
65,2025-03-07,Rent Expense,16981,0,Journal entry 65 debit
65,2025-03-07,Cash,0,16981,Journal entry 65 credit
66,2025-03-08,Prepaid Expenses,10668,0,Journal entry 66 debit
66,2025-03-08,Accumulated Depreciation,0,10668,Journal entry 66 credit
67,2025-03-09,Equipment,39952,0,Journal entry 67 debit
67,2025-03-09,Capital,0,39952,Journal entry 67 credit
68,2025-03-10,Rent Expense,17084,0,Journal entry 68 debit
68,2025-03-10,Revenue,0,17084,Journal entry 68 credit
69,2025-03-11,Inventory,14844,0,Journal entry 69 debit
69,2025-03-11,Cash,0,14844,Journal entry 69 credit
70,2025-03-12,Equipment,22200,0,Journal entry 70 debit
70,2025-03-12,Revenue,0,22200,Journal entry 70 credit
71,2025-03-13,Cash,36330,0,Journal entry 71 debit
71,2025-03-13,Cash,0,36330,Journal entry 71 credit
72,2025-03-14,Prepaid Expenses,34625,0,Journal entry 72 debit
72,2025-03-14,Capital,0,34625,Journal entry 72 credit
73,2025-03-15,Office Supplies,39793,0,Journal entry 73 debit
73,2025-03-15,Capital,0,39793,Journal entry 73 credit
74,2025-03-16,Salaries Expense,45762,0,Journal entry 74 debit
74,2025-03-16,Accounts Payable,0,45762,Journal entry 74 credit
75,2025-03-17,Rent Expense,3470,0,Journal entry 75 debit
75,2025-03-17,Cash,0,3470,Journal entry 75 credit
76,2025-03-18,Rent Expense,17833,0,Journal entry 76 debit
76,2025-03-18,Capital,0,17833,Journal entry 76 credit
77,2025-03-19,Accounts Receivable,30439,0,Journal entry 77 debit
77,2025-03-19,Accounts Payable,0,30439,Journal entry 77 credit
78,2025-03-20,Prepaid Expenses,21642,0,Journal entry 78 debit
78,2025-03-20,Accumulated Depreciation,0,21642,Journal entry 78 credit
79,2025-03-21,Cash,3707,0,Journal entry 79 debit
79,2025-03-21,Cash,0,3707,Journal entry 79 credit
80,2025-03-22,Office Supplies,5257,0,Journal entry 80 debit
80,2025-03-22,Cash,0,5257,Journal entry 80 credit
81,2025-03-23,Accounts Receivable,46129,0,Journal entry 81 debit
81,2025-03-23,Capital,0,46129,Journal entry 81 credit
82,2025-03-24,Prepaid Expenses,24259,0,Journal entry 82 debit
82,2025-03-24,Capital,0,24259,Journal entry 82 credit
83,2025-03-25,Inventory,46292,0,Journal entry 83 debit
83,2025-03-25,Capital,0,46292,Journal entry 83 credit
84,2025-03-26,Salaries Expense,12166,0,Journal entry 84 debit
84,2025-03-26,Accounts Payable,0,12166,Journal entry 84 credit
85,2025-03-27,Office Supplies,1150,0,Journal entry 85 debit
85,2025-03-27,Capital,0,1150,Journal entry 85 credit
86,2025-03-28,Accounts Receivable,46405,0,Journal entry 86 debit
86,2025-03-28,Capital,0,46405,Journal entry 86 credit
87,2025-03-29,Rent Expense,43423,0,Journal entry 87 debit
87,2025-03-29,Accounts Payable,0,43423,Journal entry 87 credit
88,2025-03-30,Salaries Expense,33996,0,Journal entry 88 debit
88,2025-03-30,Accounts Payable,0,33996,Journal entry 88 credit
89,2025-03-31,Equipment,29848,0,Journal entry 89 debit
89,2025-03-31,Unearned Revenue,0,29848,Journal entry 89 credit
90,2025-04-01,Inventory,34126,0,Journal entry 90 debit
90,2025-04-01,Accumulated Depreciation,0,34126,Journal entry 90 credit
91,2025-04-02,Salaries Expense,39186,0,Journal entry 91 debit
91,2025-04-02,Accumulated Depreciation,0,39186,Journal entry 91 credit
92,2025-04-03,Prepaid Expenses,20063,0,Journal entry 92 debit
92,2025-04-03,Cash,0,20063,Journal entry 92 credit
93,2025-04-04,Inventory,24269,0,Journal entry 93 debit
93,2025-04-04,Unearned Revenue,0,24269,Journal entry 93 credit
94,2025-04-05,Office Supplies,24120,0,Journal entry 94 debit
94,2025-04-05,Accumulated Depreciation,0,24120,Journal entry 94 credit
95,2025-04-06,Rent Expense,28253,0,Journal entry 95 debit
95,2025-04-06,Accumulated Depreciation,0,28253,Journal entry 95 credit
96,2025-04-07,Salaries Expense,23553,0,Journal entry 96 debit
96,2025-04-07,Accumulated Depreciation,0,23553,Journal entry 96 credit
97,2025-04-08,Inventory,46795,0,Journal entry 97 debit
97,2025-04-08,Cash,0,46795,Journal entry 97 credit
98,2025-04-09,Accounts Receivable,9023,0,Journal entry 98 debit
98,2025-04-09,Revenue,0,9023,Journal entry 98 credit
99,2025-04-10,Cash,10153,0,Journal entry 99 debit
99,2025-04-10,Revenue,0,10153,Journal entry 99 credit
100,2025-04-11,Rent Expense,18751,0,Journal entry 100 debit
100,2025-04-11,Cash,0,18751,Journal entry 100 credit
101,2025-04-12,Office Supplies,17471,0,Journal entry 101 debit
101,2025-04-12,Revenue,0,17471,Journal entry 101 credit
102,2025-04-13,Equipment,44393,0,Journal entry 102 debit
102,2025-04-13,Accounts Payable,0,44393,Journal entry 102 credit
103,2025-04-14,Accounts Receivable,25770,0,Journal entry 103 debit
103,2025-04-14,Accounts Payable,0,25770,Journal entry 103 credit
104,2025-04-15,Prepaid Expenses,5100,0,Journal entry 104 debit
104,2025-04-15,Capital,0,5100,Journal entry 104 credit
105,2025-04-16,Prepaid Expenses,32946,0,Journal entry 105 debit
105,2025-04-16,Accounts Payable,0,32946,Journal entry 105 credit
106,2025-04-17,Office Supplies,26691,0,Journal entry 106 debit
106,2025-04-17,Unearned Revenue,0,26691,Journal entry 106 credit
107,2025-04-18,Inventory,38388,0,Journal entry 107 debit
107,2025-04-18,Accounts Payable,0,38388,Journal entry 107 credit
108,2025-04-19,Inventory,23701,0,Journal entry 108 debit
108,2025-04-19,Accumulated Depreciation,0,23701,Journal entry 108 credit
109,2025-04-20,Cash,23672,0,Journal entry 109 debit
109,2025-04-20,Cash,0,23672,Journal entry 109 credit
110,2025-04-21,Rent Expense,22675,0,Journal entry 110 debit
110,2025-04-21,Capital,0,22675,Journal entry 110 credit
111,2025-04-22,Cash,45503,0,Journal entry 111 debit
111,2025-04-22,Unearned Revenue,0,45503,Journal entry 111 credit
112,2025-04-23,Prepaid Expenses,6182,0,Journal entry 112 debit
112,2025-04-23,Unearned Revenue,0,6182,Journal entry 112 credit
113,2025-04-24,Accounts Receivable,6708,0,Journal entry 113 debit
113,2025-04-24,Accounts Payable,0,6708,Journal entry 113 credit
114,2025-04-25,Equipment,16781,0,Journal entry 114 debit
114,2025-04-25,Capital,0,16781,Journal entry 114 credit
115,2025-04-26,Cash,25814,0,Journal entry 115 debit
115,2025-04-26,Capital,0,25814,Journal entry 115 credit
116,2025-04-27,Rent Expense,15053,0,Journal entry 116 debit
116,2025-04-27,Capital,0,15053,Journal entry 116 credit
117,2025-04-28,Prepaid Expenses,21103,0,Journal entry 117 debit
117,2025-04-28,Capital,0,21103,Journal entry 117 credit
118,2025-04-29,Equipment,33771,0,Journal entry 118 debit
118,2025-04-29,Unearned Revenue,0,33771,Journal entry 118 credit
119,2025-04-30,Accounts Receivable,28320,0,Journal entry 119 debit
119,2025-04-30,Capital,0,28320,Journal entry 119 credit
120,2025-05-01,Accounts Receivable,25570,0,Journal entry 120 debit
120,2025-05-01,Revenue,0,25570,Journal entry 120 credit
121,2025-05-02,Salaries Expense,37504,0,Journal entry 121 debit
121,2025-05-02,Unearned Revenue,0,37504,Journal entry 121 credit
122,2025-05-03,Inventory,5724,0,Journal entry 122 debit
122,2025-05-03,Capital,0,5724,Journal entry 122 credit
123,2025-05-04,Cash,48459,0,Journal entry 123 debit
123,2025-05-04,Revenue,0,48459,Journal entry 123 credit
124,2025-05-05,Office Supplies,19200,0,Journal entry 124 debit
124,2025-05-05,Accumulated Depreciation,0,19200,Journal entry 124 credit
125,2025-05-06,Equipment,28147,0,Journal entry 125 debit
125,2025-05-06,Unearned Revenue,0,28147,Journal entry 125 credit
126,2025-05-07,Equipment,7531,0,Journal entry 126 debit
126,2025-05-07,Cash,0,7531,Journal entry 126 credit
127,2025-05-08,Rent Expense,7258,0,Journal entry 127 debit
127,2025-05-08,Revenue,0,7258,Journal entry 127 credit
128,2025-05-09,Salaries Expense,32479,0,Journal entry 128 debit
128,2025-05-09,Capital,0,32479,Journal entry 128 credit
129,2025-05-10,Salaries Expense,11378,0,Journal entry 129 debit
129,2025-05-10,Accounts Payable,0,11378,Journal entry 129 credit
130,2025-05-11,Cash,48993,0,Journal entry 130 debit
130,2025-05-11,Capital,0,48993,Journal entry 130 credit
131,2025-05-12,Equipment,48816,0,Journal entry 131 debit
131,2025-05-12,Accumulated Depreciation,0,48816,Journal entry 131 credit
132,2025-05-13,Salaries Expense,27060,0,Journal entry 132 debit
132,2025-05-13,Cash,0,27060,Journal entry 132 credit
133,2025-05-14,Office Supplies,22418,0,Journal entry 133 debit
133,2025-05-14,Accounts Payable,0,22418,Journal entry 133 credit
134,2025-05-15,Office Supplies,41673,0,Journal entry 134 debit
134,2025-05-15,Accumulated Depreciation,0,41673,Journal entry 134 credit
135,2025-05-16,Cash,19510,0,Journal entry 135 debit
135,2025-05-16,Accounts Payable,0,19510,Journal entry 135 credit
136,2025-05-17,Prepaid Expenses,6480,0,Journal entry 136 debit
136,2025-05-17,Unearned Revenue,0,6480,Journal entry 136 credit
137,2025-05-18,Salaries Expense,32494,0,Journal entry 137 debit
137,2025-05-18,Accounts Payable,0,32494,Journal entry 137 credit
138,2025-05-19,Equipment,22246,0,Journal entry 138 debit
138,2025-05-19,Unearned Revenue,0,22246,Journal entry 138 credit
139,2025-05-20,Accounts Receivable,31653,0,Journal entry 139 debit
139,2025-05-20,Capital,0,31653,Journal entry 139 credit
140,2025-05-21,Equipment,35820,0,Journal entry 140 debit
140,2025-05-21,Accounts Payable,0,35820,Journal entry 140 credit
141,2025-05-22,Cash,25201,0,Journal entry 141 debit
141,2025-05-22,Capital,0,25201,Journal entry 141 credit
142,2025-05-23,Salaries Expense,13834,0,Journal entry 142 debit
142,2025-05-23,Unearned Revenue,0,13834,Journal entry 142 credit
143,2025-05-24,Equipment,3793,0,Journal entry 143 debit
143,2025-05-24,Revenue,0,3793,Journal entry 143 credit
144,2025-05-25,Salaries Expense,7966,0,Journal entry 144 debit
144,2025-05-25,Accumulated Depreciation,0,7966,Journal entry 144 credit
145,2025-05-26,Accounts Receivable,36780,0,Journal entry 145 debit
145,2025-05-26,Capital,0,36780,Journal entry 145 credit
146,2025-05-27,Prepaid Expenses,34380,0,Journal entry 146 debit
146,2025-05-27,Unearned Revenue,0,34380,Journal entry 146 credit
147,2025-05-28,Equipment,36786,0,Journal entry 147 debit
147,2025-05-28,Capital,0,36786,Journal entry 147 credit
148,2025-05-29,Inventory,5886,0,Journal entry 148 debit
148,2025-05-29,Accumulated Depreciation,0,5886,Journal entry 148 credit
149,2025-05-30,Equipment,20805,0,Journal entry 149 debit
149,2025-05-30,Accounts Payable,0,20805,Journal entry 149 credit
150,2025-05-31,Equipment,38597,0,Journal entry 150 debit
150,2025-05-31,Accumulated Depreciation,0,38597,Journal entry 150 credit
151,2025-06-01,Cash,43940,0,Journal entry 151 debit
151,2025-06-01,Accounts Payable,0,43940,Journal entry 151 credit
152,2025-06-02,Office Supplies,49384,0,Journal entry 152 debit
152,2025-06-02,Unearned Revenue,0,49384,Journal entry 152 credit
153,2025-06-03,Prepaid Expenses,13376,0,Journal entry 153 debit
153,2025-06-03,Revenue,0,13376,Journal entry 153 credit
154,2025-06-04,Cash,7991,0,Journal entry 154 debit
154,2025-06-04,Accumulated Depreciation,0,7991,Journal entry 154 credit
155,2025-06-05,Office Supplies,6353,0,Journal entry 155 debit
155,2025-06-05,Cash,0,6353,Journal entry 155 credit
156,2025-06-06,Office Supplies,36515,0,Journal entry 156 debit
156,2025-06-06,Revenue,0,36515,Journal entry 156 credit
157,2025-06-07,Inventory,23742,0,Journal entry 157 debit
157,2025-06-07,Unearned Revenue,0,23742,Journal entry 157 credit
158,2025-06-08,Equipment,45025,0,Journal entry 158 debit
158,2025-06-08,Accounts Payable,0,45025,Journal entry 158 credit
159,2025-06-09,Salaries Expense,38037,0,Journal entry 159 debit
159,2025-06-09,Capital,0,38037,Journal entry 159 credit
160,2025-06-10,Equipment,9051,0,Journal entry 160 debit
160,2025-06-10,Cash,0,9051,Journal entry 160 credit
161,2025-06-11,Accounts Receivable,21204,0,Journal entry 161 debit
161,2025-06-11,Accumulated Depreciation,0,21204,Journal entry 161 credit
162,2025-06-12,Salaries Expense,42850,0,Journal entry 162 debit
162,2025-06-12,Accounts Payable,0,42850,Journal entry 162 credit
163,2025-06-13,Prepaid Expenses,32374,0,Journal entry 163 debit
163,2025-06-13,Capital,0,32374,Journal entry 163 credit
164,2025-06-14,Office Supplies,7373,0,Journal entry 164 debit
164,2025-06-14,Accumulated Depreciation,0,7373,Journal entry 164 credit
165,2025-06-15,Accounts Receivable,28464,0,Journal entry 165 debit
165,2025-06-15,Revenue,0,28464,Journal entry 165 credit
166,2025-06-16,Rent Expense,13164,0,Journal entry 166 debit
166,2025-06-16,Accumulated Depreciation,0,13164,Journal entry 166 credit
167,2025-06-17,Office Supplies,40175,0,Journal entry 167 debit
167,2025-06-17,Accounts Payable,0,40175,Journal entry 167 credit
168,2025-06-18,Equipment,49666,0,Journal entry 168 debit
168,2025-06-18,Cash,0,49666,Journal entry 168 credit
169,2025-06-19,Equipment,33144,0,Journal entry 169 debit
169,2025-06-19,Revenue,0,33144,Journal entry 169 credit
170,2025-06-20,Accounts Receivable,13250,0,Journal entry 170 debit
170,2025-06-20,Capital,0,13250,Journal entry 170 credit
171,2025-06-21,Accounts Receivable,30491,0,Journal entry 171 debit
171,2025-06-21,Revenue,0,30491,Journal entry 171 credit
172,2025-06-22,Equipment,31679,0,Journal entry 172 debit
172,2025-06-22,Accounts Payable,0,31679,Journal entry 172 credit
173,2025-06-23,Accounts Receivable,26969,0,Journal entry 173 debit
173,2025-06-23,Capital,0,26969,Journal entry 173 credit
174,2025-06-24,Inventory,16394,0,Journal entry 174 debit
174,2025-06-24,Unearned Revenue,0,16394,Journal entry 174 credit
175,2025-06-25,Office Supplies,37164,0,Journal entry 175 debit
175,2025-06-25,Revenue,0,37164,Journal entry 175 credit
176,2025-06-26,Rent Expense,5793,0,Journal entry 176 debit
176,2025-06-26,Accounts Payable,0,5793,Journal entry 176 credit
177,2025-06-27,Salaries Expense,43291,0,Journal entry 177 debit
177,2025-06-27,Revenue,0,43291,Journal entry 177 credit
178,2025-06-28,Prepaid Expenses,25032,0,Journal entry 178 debit
178,2025-06-28,Accounts Payable,0,25032,Journal entry 178 credit
179,2025-06-29,Inventory,17214,0,Journal entry 179 debit
179,2025-06-29,Capital,0,17214,Journal entry 179 credit
180,2025-06-30,Inventory,19351,0,Journal entry 180 debit
180,2025-06-30,Capital,0,19351,Journal entry 180 credit
181,2025-07-01,Office Supplies,6708,0,Journal entry 181 debit
181,2025-07-01,Accounts Payable,0,6708,Journal entry 181 credit
182,2025-07-02,Prepaid Expenses,39599,0,Journal entry 182 debit
182,2025-07-02,Revenue,0,39599,Journal entry 182 credit
183,2025-07-03,Salaries Expense,44787,0,Journal entry 183 debit
183,2025-07-03,Capital,0,44787,Journal entry 183 credit
184,2025-07-04,Salaries Expense,23493,0,Journal entry 184 debit
184,2025-07-04,Accounts Payable,0,23493,Journal entry 184 credit
185,2025-07-05,Accounts Receivable,8609,0,Journal entry 185 debit
185,2025-07-05,Revenue,0,8609,Journal entry 185 credit
186,2025-07-06,Salaries Expense,24587,0,Journal entry 186 debit
186,2025-07-06,Unearned Revenue,0,24587,Journal entry 186 credit
187,2025-07-07,Cash,30382,0,Journal entry 187 debit
187,2025-07-07,Accumulated Depreciation,0,30382,Journal entry 187 credit
188,2025-07-08,Inventory,36034,0,Journal entry 188 debit
188,2025-07-08,Cash,0,36034,Journal entry 188 credit
189,2025-07-09,Cash,22318,0,Journal entry 189 debit
189,2025-07-09,Unearned Revenue,0,22318,Journal entry 189 credit
190,2025-07-10,Salaries Expense,4756,0,Journal entry 190 debit
190,2025-07-10,Unearned Revenue,0,4756,Journal entry 190 credit
191,2025-07-11,Inventory,44567,0,Journal entry 191 debit
191,2025-07-11,Accumulated Depreciation,0,44567,Journal entry 191 credit
192,2025-07-12,Inventory,14491,0,Journal entry 192 debit
192,2025-07-12,Unearned Revenue,0,14491,Journal entry 192 credit
193,2025-07-13,Prepaid Expenses,7816,0,Journal entry 193 debit
193,2025-07-13,Accumulated Depreciation,0,7816,Journal entry 193 credit
194,2025-07-14,Salaries Expense,46694,0,Journal entry 194 debit
194,2025-07-14,Accumulated Depreciation,0,46694,Journal entry 194 credit
195,2025-07-15,Accounts Receivable,3660,0,Journal entry 195 debit
195,2025-07-15,Accounts Payable,0,3660,Journal entry 195 credit
196,2025-07-16,Cash,9744,0,Journal entry 196 debit
196,2025-07-16,Accounts Payable,0,9744,Journal entry 196 credit
197,2025-07-17,Rent Expense,10892,0,Journal entry 197 debit
197,2025-07-17,Accounts Payable,0,10892,Journal entry 197 credit
198,2025-07-18,Salaries Expense,21667,0,Journal entry 198 debit
198,2025-07-18,Accumulated Depreciation,0,21667,Journal entry 198 credit
199,2025-07-19,Accounts Receivable,33975,0,Journal entry 199 debit
199,2025-07-19,Capital,0,33975,Journal entry 199 credit
200,2025-07-20,Accounts Receivable,42440,0,Journal entry 200 debit
200,2025-07-20,Cash,0,42440,Journal entry 200 credit
201,2025-07-21,Office Supplies,36896,0,Journal entry 201 debit
201,2025-07-21,Revenue,0,36896,Journal entry 201 credit
202,2025-07-22,Cash,20513,0,Journal entry 202 debit
202,2025-07-22,Accumulated Depreciation,0,20513,Journal entry 202 credit
203,2025-07-23,Equipment,30697,0,Journal entry 203 debit
203,2025-07-23,Cash,0,30697,Journal entry 203 credit
204,2025-07-24,Prepaid Expenses,1250,0,Journal entry 204 debit
204,2025-07-24,Accumulated Depreciation,0,1250,Journal entry 204 credit
205,2025-07-25,Salaries Expense,11098,0,Journal entry 205 debit
205,2025-07-25,Revenue,0,11098,Journal entry 205 credit
206,2025-07-26,Equipment,1481,0,Journal entry 206 debit
206,2025-07-26,Cash,0,1481,Journal entry 206 credit
207,2025-07-27,Office Supplies,49202,0,Journal entry 207 debit
207,2025-07-27,Accumulated Depreciation,0,49202,Journal entry 207 credit
208,2025-07-28,Salaries Expense,36986,0,Journal entry 208 debit
208,2025-07-28,Capital,0,36986,Journal entry 208 credit
209,2025-07-29,Accounts Receivable,17690,0,Journal entry 209 debit
209,2025-07-29,Cash,0,17690,Journal entry 209 credit
210,2025-07-30,Equipment,28902,0,Journal entry 210 debit
210,2025-07-30,Revenue,0,28902,Journal entry 210 credit
211,2025-07-31,Office Supplies,26248,0,Journal entry 211 debit
211,2025-07-31,Capital,0,26248,Journal entry 211 credit
212,2025-08-01,Accounts Receivable,9494,0,Journal entry 212 debit
212,2025-08-01,Unearned Revenue,0,9494,Journal entry 212 credit
213,2025-08-02,Prepaid Expenses,14356,0,Journal entry 213 debit
213,2025-08-02,Capital,0,14356,Journal entry 213 credit
214,2025-08-03,Salaries Expense,25189,0,Journal entry 214 debit
214,2025-08-03,Accumulated Depreciation,0,25189,Journal entry 214 credit
215,2025-08-04,Salaries Expense,23649,0,Journal entry 215 debit
215,2025-08-04,Cash,0,23649,Journal entry 215 credit
216,2025-08-05,Office Supplies,11858,0,Journal entry 216 debit
216,2025-08-05,Capital,0,11858,Journal entry 216 credit
217,2025-08-06,Salaries Expense,34595,0,Journal entry 217 debit
217,2025-08-06,Capital,0,34595,Journal entry 217 credit
218,2025-08-07,Office Supplies,48263,0,Journal entry 218 debit
218,2025-08-07,Accumulated Depreciation,0,48263,Journal entry 218 credit
219,2025-08-08,Accounts Receivable,40234,0,Journal entry 219 debit
